complaint_id,area_id,state,district,latitude,longitude,technology,coverage_status,last_updated,issue_type,network_type,status,reported_date,call_duration,signal_strength,dropped_call
CMP-00000,AREA-0002,Sarawak,Miri,3.909955,113.623266,5G,Moderate,31/12/2025,No Connectivity,5G,In Progress,12/10/2025,3174,3,0
CMP-00001,AREA-0021,Pahang,Temerloh,3.559106,103.391911,4G,Good,29/12/2025,Call Drop,4G,Resolved,8/9/2025,3507,4,1
CMP-00002,AREA-0090,Johor,Batu Pahat,2.028487,103.360142,5G,Poor,27/12/2025,Poor Coverage,5G,Resolved,28/10/2025,860,2,0
CMP-00003,AREA-0000,Kedah,Sungai Petani,5.301319,100.441777,4G,Moderate,17/12/2025,Slow Speed,Fiber,In Progress,23/11/2025,1294,4,0
CMP-00004,AREA-0007,Sabah,Kota Kinabalu,5.982145,115.641092,4G,Good,17/12/2025,Call Drop,5G,Resolved,4/9/2025,1130,4,0
CMP-00005,AREA-0030,Selangor,Gombak,3.17338,101.780272,4G,Moderate,28/12/2025,Poor Coverage,5G,Submitted,2/11/2025,1095,1,0
CMP-00006,AREA-0001,Penang,Seberang Perai,5.473332,100.337098,4G,Good,2/1/2026,Service Outage,Fiber,Submitted,28/12/2025,3092,2,0
CMP-00007,AREA-0005,Kedah,Alor Setar,5.750157,100.48824,5G,Poor,3/1/2026,No Connectivity,Fiber,Resolved,4/12/2025,1638,2,0
CMP-00008,AREA-0001,Penang,Seberang Perai,5.200436,100.250582,4G,Good,2/1/2026,Call Drop,5G,Submitted,22/10/2025,2169,2,0
CMP-00009,AREA-0003,Penang,George Town,5.423446,100.398351,Fiber,Good,4/1/2026,No Connectivity,Fiber,Resolved,27/12/2025,466,4,0
CMP-00010,AREA-0030,Selangor,Gombak,2.819696,101.717885,4G,Moderate,28/12/2025,Poor Coverage,Fiber,In Progress,1/10/2025,1238,3,0
CMP-00011,AREA-0001,Penang,Seberang Perai,5.498372,100.492284,4G,Good,2/1/2026,Call Drop,5G,In Progress,1/12/2025,330,2,0
CMP-00012,AREA-0002,Sarawak,Miri,2.057913,112.873388,5G,Moderate,31/12/2025,Service Outage,5G,Submitted,30/12/2025,1482,5,1
CMP-00013,AREA-0045,Perak,Taiping,4.777822,101.362279,Fiber,Moderate,11/1/2026,No Connectivity,Fiber,Resolved,30/12/2025,2135,4,1
CMP-00014,AREA-0003,Penang,George Town,5.428327,100.315385,Fiber,Good,4/1/2026,No Connectivity,Fiber,Submitted,26/10/2025,3444,1,1
CMP-00015,AREA-0021,Pahang,Temerloh,3.255719,103.120484,4G,Good,29/12/2025,Service Outage,Fiber,Submitted,19/10/2025,3171,3,1
